Number,Frage,Antwort
0,"Hallo, wie geht es dir?",Mir geht es gut. Wie ist es mit dir?
1,Mir geht es gut. Wie ist es mit dir?,Ich bin ziemlich gut. Danke für die Frage.
2,Ich bin ziemlich gut. Danke für die Frage.,Kein Problem. wie ist es dir ergangen?
3,Kein Problem. wie ist es dir ergangen?,Mir ging es großartig. Was ist mit dir?
4,Mir ging es großartig. Was ist mit dir?,ich war gut. Ich bin gerade in der Schule.
5,ich war gut. Ich bin gerade in der Schule.,Auf welche Schule gehst du?
6,Auf welche Schule gehst du?,Ich gehe zum PCC.
7,Ich gehe zum PCC.,magst du es dort?
8,magst du es dort?,Es ist okay. Es ist ein wirklich großer Campus.
9,Es ist okay. Es ist ein wirklich großer Campus.,viel Erfolg in der Schule.
10,viel Erfolg in der Schule.,Vielen Dank.
11,wie geht's?,mir geht es gut. und du?
12,mir geht es gut. und du?,"nie besser, danke."
13,"nie besser, danke.",Wie ging es dir in letzter Zeit?
14,Wie ging es dir in letzter Zeit?,Eigentlich war ich ziemlich gut. Du?
15,Eigentlich war ich ziemlich gut. Du?,Eigentlich bin ich gerade in der Schule.
16,Eigentlich bin ich gerade in der Schule.,welche Schule besuchst du?
17,welche Schule besuchst du?,Ich besuche gerade die PCC.
18,Ich besuche gerade die PCC.,Gefällt es dir dort?
19,Gefällt es dir dort?,es ist nicht schlecht. Es sind viele Leute da.
20,es ist nicht schlecht. Es sind viele Leute da.,viel Glück damit.
21,viel Glück damit.,Danke.
22,Wie geht es dir heute?,Mir geht es großartig. Was ist mit dir?
23,Mir geht es großartig. Was ist mit dir?,"Ich bin absolut reizend, danke."
24,"Ich bin absolut reizend, danke.",Bei dir ist alles gut?
25,Bei dir ist alles gut?,Mir ging es nicht besser. Wie ist es mit dir?
26,Mir ging es nicht besser. Wie ist es mit dir?,Ich bin vor Kurzem in die Schule gekommen.
27,Ich bin vor Kurzem in die Schule gekommen.,Wo gehst du zur Schule?
28,Wo gehst du zur Schule?,Ich gehe zum PCC.
